Status,Reason,URL
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/still9.png
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/IMG_7587.JPG
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/IMG_7635.JPG
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/IMG_1367.mov
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/IMG_7812.JPG
failed,503,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/IMG_7219.MOV
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/girltime-vid.MOV
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/IMG_1361.mov
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/IMG_1361%20copy.mov
failed,missing_url,
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/IMG_7103.JPG
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/IMG_7168.JPG
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/IMG_1364.jpg
downloaded,success,https,//cdn.glitch.global/95731519-6287-4bbd-a281-712ac2b13fef/IMG_1361_2.mov
